symbol	id	max_skipped_bases
TTN	ENSG00000155657	26106
TTN	ENSG00000155657.25	26106
Ttn	ENSMUSG00000051747	24843
TTN	ENSG00000283186	22134
TTN	ENSG00000155657.16	22134
TTN	ENSG00000283186.1	22134
MUC4	ENSG00000145113	12875
MUC4	ENSG00000145113.16	12875
MUC4	ENSG00000145113.21	12875
ADGRV1	ENSG00000164199	12530
